filename,index_in_file,class,cluster,small_cluster
./saved_dataset/poisoned_batch_0.pt,7,0,0,1
./saved_dataset/poisoned_batch_0.pt,11,0,0,1
./saved_dataset/poisoned_batch_0.pt,19,0,0,1
./saved_dataset/poisoned_batch_0.pt,28,0,0,1
./saved_dataset/poisoned_batch_0.pt,32,0,0,1
./saved_dataset/poisoned_batch_0.pt,35,0,0,1
./saved_dataset/poisoned_batch_0.pt,50,0,0,1
./saved_dataset/poisoned_batch_0.pt,53,0,0,1
./saved_dataset/poisoned_batch_0.pt,67,0,0,1
./saved_dataset/poisoned_batch_0.pt,71,0,0,1
./saved_dataset/poisoned_batch_0.pt,74,0,0,1
./saved_dataset/poisoned_batch_0.pt,78,0,0,1
./saved_dataset/poisoned_batch_0.pt,98,0,0,1
./saved_dataset/poisoned_batch_0.pt,105,0,0,1
./saved_dataset/poisoned_batch_0.pt,116,0,0,1
./saved_dataset/poisoned_batch_0.pt,138,0,0,1
./saved_dataset/poisoned_batch_0.pt,141,0,0,1
./saved_dataset/poisoned_batch_0.pt,142,0,0,1
./saved_dataset/poisoned_batch_0.pt,143,0,0,1
./saved_dataset/poisoned_batch_0.pt,146,0,0,1
./saved_dataset/poisoned_batch_0.pt,148,0,0,1
./saved_dataset/poisoned_batch_0.pt,154,0,0,1
./saved_dataset/poisoned_batch_0.pt,158,0,0,1
./saved_dataset/poisoned_batch_0.pt,174,0,0,1
./saved_dataset/poisoned_batch_0.pt,188,0,0,1
./saved_dataset/poisoned_batch_0.pt,189,0,0,1
./saved_dataset/poisoned_batch_0.pt,195,0,0,1
./saved_dataset/poisoned_batch_0.pt,196,0,0,1
./saved_dataset/poisoned_batch_0.pt,197,0,0,1
./saved_dataset/poisoned_batch_0.pt,207,0,0,1
./saved_dataset/poisoned_batch_0.pt,211,0,0,1
./saved_dataset/poisoned_batch_0.pt,213,0,0,1
./saved_dataset/poisoned_batch_0.pt,222,0,0,1
./saved_dataset/poisoned_batch_0.pt,224,0,0,1
./saved_dataset/poisoned_batch_0.pt,239,0,0,1
./saved_dataset/poisoned_batch_0.pt,244,0,0,1
./saved_dataset/poisoned_batch_0.pt,246,0,0,1
./saved_dataset/poisoned_batch_0.pt,247,0,0,1
./saved_dataset/poisoned_batch_0.pt,256,0,0,1
./saved_dataset/poisoned_batch_0.pt,271,0,0,1
./saved_dataset/poisoned_batch_0.pt,279,0,0,1
./saved_dataset/poisoned_batch_0.pt,289,0,0,1
./saved_dataset/poisoned_batch_0.pt,293,0,0,1
./saved_dataset/poisoned_batch_0.pt,300,0,0,1
./saved_dataset/poisoned_batch_0.pt,303,0,0,1
./saved_dataset/poisoned_batch_0.pt,308,0,0,1
./saved_dataset/poisoned_batch_0.pt,312,0,0,1
./saved_dataset/poisoned_batch_0.pt,320,0,0,1
./saved_dataset/poisoned_batch_0.pt,326,0,0,1
./saved_dataset/poisoned_batch_0.pt,330,0,0,1
./saved_dataset/poisoned_batch_0.pt,333,0,0,1
./saved_dataset/poisoned_batch_0.pt,345,0,0,1
./saved_dataset/poisoned_batch_0.pt,347,0,0,1
./saved_dataset/poisoned_batch_0.pt,350,0,0,1
./saved_dataset/poisoned_batch_0.pt,370,0,0,1
./saved_dataset/poisoned_batch_0.pt,383,0,0,1
./saved_dataset/poisoned_batch_0.pt,384,0,0,1
./saved_dataset/poisoned_batch_0.pt,393,0,0,1
./saved_dataset/poisoned_batch_0.pt,394,0,0,1
./saved_dataset/poisoned_batch_0.pt,401,0,0,1
./saved_dataset/poisoned_batch_0.pt,410,0,0,1
./saved_dataset/poisoned_batch_0.pt,416,0,0,1
./saved_dataset/poisoned_batch_0.pt,423,0,0,1
./saved_dataset/poisoned_batch_0.pt,424,0,0,1
./saved_dataset/poisoned_batch_0.pt,435,0,0,1
./saved_dataset/poisoned_batch_0.pt,438,0,0,1
./saved_dataset/poisoned_batch_0.pt,445,0,0,1
./saved_dataset/poisoned_batch_0.pt,468,0,0,1
./saved_dataset/poisoned_batch_0.pt,477,0,0,1
./saved_dataset/poisoned_batch_0.pt,480,0,0,1
./saved_dataset/poisoned_batch_0.pt,492,0,0,1
./saved_dataset/poisoned_batch_0.pt,501,0,0,1
./saved_dataset/poisoned_batch_0.pt,506,0,0,1
./saved_dataset/poisoned_batch_0.pt,507,0,0,1
./saved_dataset/poisoned_batch_0.pt,511,0,0,1
./saved_dataset/poisoned_batch_1.pt,8,0,0,1
./saved_dataset/poisoned_batch_1.pt,12,0,0,1
./saved_dataset/poisoned_batch_1.pt,26,0,0,1
./saved_dataset/poisoned_batch_1.pt,58,0,0,1
./saved_dataset/poisoned_batch_1.pt,86,0,0,1
./saved_dataset/poisoned_batch_1.pt,87,0,0,1
./saved_dataset/poisoned_batch_1.pt,95,0,0,1
./saved_dataset/poisoned_batch_1.pt,102,0,0,1
./saved_dataset/poisoned_batch_1.pt,114,0,0,1
./saved_dataset/poisoned_batch_1.pt,116,0,0,1
./saved_dataset/poisoned_batch_1.pt,123,0,0,1
./saved_dataset/poisoned_batch_1.pt,124,0,0,1
./saved_dataset/poisoned_batch_1.pt,133,0,0,1
./saved_dataset/poisoned_batch_1.pt,140,0,0,1
./saved_dataset/poisoned_batch_1.pt,169,0,0,1
./saved_dataset/poisoned_batch_1.pt,179,0,0,1
./saved_dataset/poisoned_batch_1.pt,187,0,0,1
./saved_dataset/poisoned_batch_1.pt,206,0,0,1
./saved_dataset/poisoned_batch_1.pt,209,0,0,1
./saved_dataset/poisoned_batch_1.pt,224,0,0,1
./saved_dataset/poisoned_batch_1.pt,234,0,0,1
./saved_dataset/poisoned_batch_1.pt,238,0,0,1
./saved_dataset/poisoned_batch_1.pt,246,0,0,1
./saved_dataset/poisoned_batch_1.pt,263,0,0,1
./saved_dataset/poisoned_batch_1.pt,288,0,0,1
./saved_dataset/poisoned_batch_1.pt,292,0,0,1
./saved_dataset/poisoned_batch_1.pt,293,0,0,1
./saved_dataset/poisoned_batch_1.pt,328,0,0,1
./saved_dataset/poisoned_batch_1.pt,344,0,0,1
./saved_dataset/poisoned_batch_1.pt,350,0,0,1
./saved_dataset/poisoned_batch_1.pt,351,0,0,1
./saved_dataset/poisoned_batch_1.pt,372,0,0,1
